PDF,Type,Title,Authors,Mentor TA
Scaling_DPO_with_Synthetic_Preferences_for_Instruction_Following_Language_Models.pdf,Default,Scaling DPO with Synthetic Preferences for Instruction-Following Language Models,Keyan Azbijari,Jinny Chung
CS224R_Final_Report__1_ (1).pdf,Default,Direct vs Adversarial Direct Preference Optimization (DPO vs. A-DPO),"Ian Lasic-Ellis, Cameron Camp, Dominic Borg",Prateek Varshney
CS_224R_Final_Project_Report__5_.pdf,Custom,WebHierarch: Hierarchical Skill-Learning for Web Agents,"Su Kara, Ameya Jadhav, Allen Chau",Ashish Rao
CS_224R_Final_Paper__4_.pdf,Custom,Temperature Autotuning and Efficient Exploration in Online MaxEnt Diffusion RL,Javier Nieto,Andy Tang
CS224R_report (1).pdf,Default,Multi-Objective Alignment of Language Model using Novel Scalarization Methods,"Chenxi Feng, Zijian Du, Jing Luo",Haoyi Duan
CS_224R_Final_Report__2_.pdf,Custom,Cross-Institution RL Benchmarking for Non-Synthetic Clinical Settings,Kalyani Limaye,Xingze Dai
CS224R_Final_Project_Report (1)12.pdf,Custom,HIVE: A Multi-Agent Message Pooling Framework,"Ty Toney, Julian Allchin, Diego Bustamante",Joy He-Yueya
CS224R_final_final.pdf,Custom,Improving Small Language Models via Test-Time Prompt Compression and Retrieval,"Neha Balamurugan, Keshav Patel Keval, Pranava Singhal",Jubayer Ibn Hamid
CS224R_Final_Paper (1).pdf,Custom,RL Methods on Large Language Models: A Curriculum Learning Approach,"Jack Hung, Luke Moberly",Sergio Charles
CS224R_final_report__2_ (4).pdf,Default,Can Small LLMs Learn from Medium Ones?,"Charlie Jiang, Yixing Jiang, Yi Jing",Prateek Varshney
CS_224R_project_report__2_.pdf,Custom,Leveraging Deep Q Networks for Kidney Paired Donation Matching,Odelia Lorch,Jinny Chung
CS_224R_Final_Report___Nikesh_Mishra.pdf,Custom,AwkAI: An AI-powered Command Line DSL,Nikesh Mishra,Xingze Dai
224R_Final_Report (1)1.pdf,Custom,Reinforcement Learning in Mental Healthcare,Dean Barrow,Bassem Akoush
CS_224R_Final_Report (5).pdf,Custom,DPOBind: Ligand Generation Through Direct Preference Optimization of Chemical Language Models,Rafael Prado Basto,Sergio Charles
CS224R_Final_Report (21).pdf,Default,Supervised Fine-Tuning and Curriculum-Guided Direct Preference Optimization on Qwen2.5-0.5B,"Christopher Sun, Abishek Satish",Anikait Singh
CS224R_Final_Report (2)12.pdf,Default,"Unified Reasoning Traces for Small Language Model Enhancement: Combining Chain-of-Thought, Logic Predicates, and Executable Code",Isaiah Hall,Haoyi Duan
final_project_cs224r.pdf,Custom,Align Small Language Models for Personality-Consistent Agent Simulation,Caroline Santos Marques da Silva,Fengyu Li
cs224r_final_report_202512.pdf,Custom,Applications of Reinforcement Learning in Music,Arindam Saha,Yash Kankariya
Role_of_SFT_in_RL_Tuning_of_Qwen2.5.pdf,Default,Role of SFT in RL Tuning of Qwen2.5,Chaoqun Jia,Bassem Akoush
CS224R_Final_Project (2).pdf,Custom,Analysis of RL Architectures for Delayed Rewards in Super Smash Brothers Melee,"Danica Xiong, Tony Xia",Jensen Gao
CS_224R_Final_Report (2)1.pdf,Custom,Improving biological safety of genomic language models via direct preference optimization,"Alejandro Buendia, Mohini Misra, Samantha Mutiti",Jensen Gao
CS224R_Final_Report.pdf,Custom,Sim2Sim on Legged Robots,"Jiaqi Shao, Chenhao Zhu, Yizhao Hou",Zhen Wu
cs_224r_final_paper__3_.pdf,Default,Distilling Reasoning Into Conversational Models Using Generated Data,"Jack Younger, Mateo Quiros-Bloch, Carlos Santana",Anikait Singh
project__2_.pdf,Custom,Adaptive Mask Learning for MaskedMimic via Meta-RL,Prasuna Chatla,Jubayer Ibn Hamid
CS_224R_Final_Project_Report__2_.pdf,Custom,Improving Q-Learning Sample Efficiency with Representation Learning for 2048,"Rachael Cooper, Melinda Zhu",Sri Jaladi
CS224R_Final_Project_Report-2.pdf,Custom,Graph Reasoning-Tailored (GReaT) VLMs,"Mike Zhao, Raina Song, Joonwon Kang",Fengyu Li
224R_Final_Paper.pdf,Custom,Simulation Reinforcement Learning: Improving LLM Predictive Social Modeling,Niles Egan,Ashish Rao
CS224R_Default_Final_Project.pdf,Default,RL Fine-Tuning of Language Model for Instruction Following and Math Reasoning,"Yifu Han, Geo Zhang",Xingze Dai
Your_Project_Title (2).pdf,Default,Using Curriculum to Improve Mathematical Reasoning,Joshua Shunk,Ashish Rao
Final_Paper.pdf,Custom,Teaching Models to Reason about Vision-Based Code Generation using GRPO,"Soham V. Govande, Taeuk Kang, Andrew Shi",Annie Chen
224R_Project_Report.pdf,Custom,From Rules to Strategy: Teaching Reinforcement Learning Agents to Play Sequence,Nick Monozon,Xingze Dai
cs224r_final_project (1)12.pdf,Custom,Protein-Agent – an RL Surrogate for Atomistic Molecular Dynamics,Chetan Chilkunda,Jensen Gao
224r_final_report.pdf,Custom,Budget–Aware Medical Form–Filling via Cooperative Q–Learning and Modular Tool Orchestration,Ismael Arechiga Duran,Bassem Akoush
Your_Project_Title.pdf,Default,Fine-Tuning Language Models with Curriculum Learning,Ethan Trepka,Ashish Rao
CS_224R_Final_Report (2).pdf,Custom,Forest or Field: It Drone Matter,Sarah Barragan,Jensen Gao
CS_224R_Final_Project_Report.pdf,Custom,From Game-Playing to Self-Driving: Comparing AlphaGo vs AlphaZero Approaches for Driving Controls,Ellen Xu,Annie Chen
Final_Project_Report.pdf,Default,Curriculum and Augmented RL Fine-Tuning for Aligned Language Models,"Yisi Lyu, Yuqiao Zeng, Jiayu Chang",Joy He-Yueya
CS224R_Final_Report__2_ (3).pdf,Custom,GRPO&Master: Multi Task Reasoning-First Chess RL,"Parth Sarthi, Salman Abdullah, Krrish Chawla",Sri Jaladi
CS224R_RECAP.pdf,Custom,ReCAP: Recursive Context-Aware Reasoning and Planning with Language Models,"Zhenyu Zhang, Tianyi Chen, Weiran Xu",Prateek Varshney
Alberto_Project.pdf,Custom,Dynamic Dataset Curation,Alberto Mancarella,Xingze Dai
CS224R_Final_Project_Report__2_.pdf,Custom,Dora The Explorer: Learning Explorative Policies for Language Model RL-Finetuning,Ayush Chakravarthy,Jubayer Ibn Hamid
CS224R_Final_Report (7).pdf,Custom,Towards Exponential Exploration,Tejan Karmali,Jubayer Ibn Hamid
